fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
NF,,,,,51.621244,-115.608378,2308.0,,,,,,201.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2314.0,,,,,,191.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2312.0,,,,,,114.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2273.0,,,,,,94.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2191.0,,,,,,92.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2138.0,,,,,,102.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2130.0,,,,,,134.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2118.0,,,,,,118.0,,,0.35,60.0,20,,31
C2,,,,,51.621244,-115.608378,2101.0,,,,,,114.0,,,0.8,,20,,2
C3,,,,,51.621244,-115.608378,2090.0,,,,,,136.0,,,1.15,,20,,3
C2,,,,,51.621244,-115.608378,2087.0,,,,,,147.0,,,0.8,,20,,2
C3,,,,,51.621244,-115.608378,2078.0,,,,,,135.0,,,1.15,,20,,3
C2,,,,,51.621244,-115.608378,2066.0,,,,,,126.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2054.0,,,,,,119.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2044.0,,,,,,133.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2031.0,,,,,,168.0,,,0.8,,20,,2
O1a,,,,,51.621244,-115.608378,2270.0,,,,,,189.0,,,0.35,60.0,20,,31
C1,,,,,51.621244,-115.608378,2278.0,,,,,,202.0,,,0.75,,20,,1
O1a,,,,,51.621244,-115.608378,2289.0,,,,,,207.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2302.0,,,,,,208.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2314.0,,,,,,205.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2328.0,,,,,,208.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2344.0,,,,,,208.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2350.0,,,,,,194.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2348.0,,,,,,175.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2347.0,,,,,,149.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2341.0,,,,,,136.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2333.0,,,,,,156.0,,,0.35,60.0,20,,31
